PC1,PC2,Cluster
-1.6940638283443457,-0.44300898261305205,2
-1.8672720997787882,-0.01773360537898281,0
-0.9825232911191019,0.611463449206553,4
1.9184487330718825,0.2094577207490358,1
-0.6037624442230015,0.17191333385949642,4
-2.631846284964039,-1.5931585756704303,2
-0.6861592565211923,0.6271973396315479,4
1.8071466206618705,1.3277322414694046,3
2.697997491388934,0.7242792897606797,3
0.20009853740339195,-0.7576506098648464,2
0.9811310756908334,1.1303147104325957,4
1.9013717993131172,-0.6848353429013035,1
-0.4114835815012663,-1.157841111748894,2
-0.4379812241512365,-1.1710163871117085,2
-1.0858373413647864,-1.2956018535572662,2
-1.3084374326602062,-1.5080534536817596,2
-1.7855141072435372,-0.12198166015436011,0
-1.192011944692979,-0.8968614449459061,2
0.0899215071695661,-1.5170415505385109,2
1.292113354180199,-0.8368784416363121,1
-0.23922771459859773,-1.3927623111896401,2
-1.5881203890184297,0.4112088943581955,0
1.6100476585159529,-0.7846364427032316,1
-1.7622975121840208,-1.4388034744545748,2
-0.3314079349482476,-1.317823260410331,2
-1.236550832485618,-0.007652696449795396,2
1.9710282425927868,0.7017132353505223,3
-0.3850818690459409,-0.9730568550794856,2
0.5593468370013552,-1.2605440186429844,1
1.7821419497279496,0.2028248405418296,1
-0.34700122051465243,-0.7013454085401343,2
-0.29145330757848975,-1.3549908691426165,2
-3.818740367635569,-1.6459989580686896,0
-2.981432848239515,0.8197903265930048,0
-2.0474042303485622,-1.1032244651288492,2
-1.1396569339885838,-1.1047563210629627,2
3.3516008420318943,-0.22435957964183484,3
3.455946153679734,0.7359524478852045,3
-0.8550940956925019,1.0350415055924824,4
-2.036314017820347,-1.73876578156505,2
-1.9841297928717447,-1.7194658217684857,2
2.0504914406040897,1.699465557013418,3
0.7520736287098677,-0.927963947450523,1
3.4169125126631084,0.24781493095172746,3
1.7218190848175356,-0.2864317958993984,1
-2.3784682560075496,-1.6423967644432824,2
2.231322802092004,-0.592640302471621,1
-2.30215477589509,-1.5766640002701542,2
-0.6928391952884831,1.0856342047132121,4
-1.7926800441212247,0.3294198761096388,0
0.8500483757935169,1.0729001392405193,4
-0.28588759125935037,0.7003084045700424,4
2.285952629193688,-0.767016883063055,1
-0.09789896793043709,0.5551713800577276,4
-0.6640515815189845,-1.4606596704283374,2
-1.6673444069059253,-1.194929637309888,2
1.086501475288387,0.21994751433093535,1
-0.03436584570914877,-0.33083467353688356,2
0.1358730821442871,-0.978698639273829,2
-1.12192098196006,-0.41298195228798174,2
-1.997842601556026,-1.532784513234889,2
-0.477872850182977,-0.2816986013660889,2
-1.1630672328260718,-0.8988586667120075,2
0.11306389773648956,-0.587331468833416,2
-2.7242881368665337,-0.8670715018284942,0
0.75431990124292,0.10374996154693301,1
2.3472306120593815,-0.7546576573523673,1
2.652804248068282,0.23463071349393794,3
-0.9984860312567257,0.07176808206359676,2
2.2825631813480456,-0.28354320111507647,1
-0.5742377823540754,-0.00016071789185810592,2
1.674552949719361,0.6159418418827969,1
3.3780308716375433,0.24345275551215628,3
4.103271467814574,1.3704977801245457,3
2.636836429163969,0.711772979021753,3
-0.5431518062505337,0.1124312707535451,4
-1.1862885758320862,-1.1985365118987092,2
-2.3943583652981295,0.8292363564521116,0
2.8518958677818556,1.6901687225654851,3
2.503426747237113,0.21948042436320936,3
2.7420103821843274,2.155257701195555,3
2.261569795605848,-0.29543590566891403,1
-0.7971839026028267,1.2528343566215625,4
0.26472111937002635,2.7156231217203874,4
1.7460674666048186,0.1988751683286919,1
-1.1920334091987086,0.49611807447312994,4
-1.1035028011598405,2.4146705709736542,4
-0.9799877003613117,2.400733531563803,4
-1.320141697660221,-0.8423526579418616,2
-1.1148927539260398,-1.4816281684948929,2
-1.047780354529775,-1.4697107002726535,2
2.2509512242432894,-1.2432191349209611,1
2.4268989072859455,-0.27152518549290766,1
-2.6511221671013647,0.5961584294671317,0
